### Training datasets ###
Path, Frames
"1_high_temperature/10_ML/2_NPT_1600K/dpdata/train", 180 
"1_high_temperature/10_ML/3_NVT_1600K/dpdata/train", 180 
"1_high_temperature/11_ML/2_NPT_1600K/dpdata/train", 180 
"1_high_temperature/11_ML/3_NVT_1600K/dpdata/train", 180 
"1_high_temperature/11_ML/4_NVT_1600_3000K/dpdata/train", 180 
"1_high_temperature/11_ML/5_NPT_3000K/dpdata/train", 165 
"1_high_temperature/12_ML/4_NVT_1600_3000K/dpdata/train", 179 
"1_high_temperature/12_ML/5_NVT_3000K/dpdata/train", 179 
"1_high_temperature/12_ML/6_NPT_3000K/dpdata/train", 170 
"1_high_temperature/12_ML/7_NPT_1600_3000K/dpdata/train", 176 
"1_high_temperature/12_ML/8_NPT_1_10000bar/dpdata/train", 177 
"1_high_temperature/12_ML/9_NPT_3000K_10000bar/dpdata/train", 174 
"1_high_temperature/13_ML/5_NVT_3000K/dpdata/train", 178 
"1_high_temperature/13_ML/6_NPT_3000K/dpdata/train", 147 
"1_high_temperature/13_ML/7_NPT_1600_3000K/dpdata/train", 179 
"1_high_temperature/13_ML/8_NPT_1_10000bar/dpdata/train", 178 
"1_high_temperature/13_ML/9_NPT_3000K_10000bar/dpdata/train", 177 
"1_high_temperature/14_ML/5_NVT_3000K/dpdata/train", 175 
"1_high_temperature/14_ML/6_NPT_3000K/dpdata/train", 136 
"1_high_temperature/14_ML/7_NPT_1600_3000K/dpdata/train", 172 
"1_high_temperature/14_ML/8_NPT_1_10000bar/dpdata/train", 175 
"1_high_temperature/14_ML/9_NPT_3000K_10000bar/dpdata/train", 178 
"1_high_temperature/15_ML/5_NVT_3000K/dpdata/train", 177 
"1_high_temperature/15_ML/7_NPT_1600_3000K/dpdata/train", 172 
"1_high_temperature/15_ML/9_NPT_3000K_10000bar/dpdata/train", 175 
"1_high_temperature/16_ML/7_NPT_1600_3000K/dpdata/train", 172 
"1_high_temperature/16_ML/9_NPT_3000K_10000bar/dpdata/train", 180 
"1_high_temperature/6_ML/1_NVT/dpdata/train", 180 
"2_high_pressure/14_ML/4_NPT_1bar_1GPa_300K/dpdata/train", 180 
"2_high_pressure/14_ML/5_NPT_1GPa_300K/dpdata/train", 180 
"2_high_pressure/16_ML/5_NPT_1GPa_300K/dpdata/train", 180 
"2_high_pressure/19_ML/4_NPT_1GPa_5GPa/dpdata/train", 90 
"2_high_pressure/22_ML/6_NPT_300K_0_1GPa/dpdata/train", 72 
"2_high_pressure/22_ML/7_NPT_300K_1GPa/dpdata/train", 36 
"4_crystal/1_alpha_cryst/1_NVT/dpdata/train", 36
"4_crystal/1_alpha_cryst/2_NPT_iso/dpdata/train", 45
"4_crystal/1_alpha_cryst/3_NPT_aniso/dpdata/train", 72
"4_crystal/2_beta_cryst/1_NVT/dpdata/train", 36
"4_crystal/2_beta_cryst/2_NPT_iso/dpdata/train", 36
"4_crystal/2_beta_cryst/3_NPT_aniso/dpdata/train", 27
"4_crystal/3_new_O_cryst/1_NVT/dpdata/train", 45
"4_crystal/3_new_O_cryst/2_NPT_iso/dpdata/train", 45
"4_crystal/3_new_O_cryst/3_NPT_aniso/dpdata/train", 9
"4_crystal/4_50prc_boroxol/1_NVT/dpdata/train", 36
"4_crystal/4_50prc_boroxol/2_NPT_iso/dpdata/train", 18
"4_crystal/5_100prc_boroxol/1_NVT/dpdata/train", 9
"4_crystal/5_100prc_boroxol/2_NPT_iso/dpdata/train", 45
"4_crystal/4_50prc_boroxol/4_NPT_diff_Density/dpdata/train", 225
"4_crystal/5_100prc_boroxol/4_NPT_diff_Density/dpdata/train", 225
"4_crystal/5_100prc_boroxol/5_Long_run10ns/dpdata/train", 45
"4_crystal/5_100prc_boroxol/6_boroxol_melting/dpdata/train", 135
"4_crystal/6_all_range_boroxol/1_compression/dpdata/train", 540
"4_crystal/6_all_range_boroxol/2_decompression/dpdata/train", 540

######### Validation Dataset ################

"1_high_temperature/10_ML/2_NPT_1600K/dpdata/val",  20 
"1_high_temperature/10_ML/3_NVT_1600K/dpdata/val",  20 
"1_high_temperature/11_ML/2_NPT_1600K/dpdata/val",  20 
"1_high_temperature/11_ML/3_NVT_1600K/dpdata/val",  20 
"1_high_temperature/11_ML/4_NVT_1600_3000K/dpdata/val",  20 
"1_high_temperature/11_ML/5_NPT_3000K/dpdata/val",  19 
"1_high_temperature/12_ML/4_NVT_1600_3000K/dpdata/val",  20 
"1_high_temperature/12_ML/5_NVT_3000K/dpdata/val",  20 
"1_high_temperature/12_ML/6_NPT_3000K/dpdata/val",  19 
